gr,gi
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR BEM CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
EU ESTAR MUITO CANSAR [PONTO],(+)CANSADO [PONTO]
ESTAR MUITO CANSAR ENSINAR [PONTO],(+)CANSADO ENSINAR [PONTO]
SER MUITO CARO [EXCLAMAÇÃO],(+)CARO [EXCLAMAÇÃO]
NÃO_IR MUITO CARO [PONTO],(+)CARO [PONTO]
SER MUITO CARO [PONTO],(+)CARO [PONTO]
SER CARO DEMAIS [PONTO],(+)CARO [PONTO]
IR FICAR MUITO CARO [PONTO],(+)CARO [PONTO]
SER MUITO CARO [PONTO],(+)CARO [PONTO]
SER MUITO CARO [PONTO],(+)CARO [PONTO]
ESTAR MUITO CEDO [PONTO],(+)CEDO [PONTO]
ESTAR MUITO CEDO [PONTO],(+)CEDO [PONTO]
SER MUITO CEDO [PONTO],(+)CEDO [PONTO]
EU SER MUITO CÉTICO [PONTO],(+)CÉTICO [PONTO]
ESTAR MUITO CHATEAR [PONTO],(+)CHATEADO [PONTO]
ESTAR MUITO CHATEAR [PONTO],(+)CHATEADO [PONTO]
EU ESTAR MUITO CHATEAR [PONTO],(+)CHATEADO [PONTO]
EU ESTAR MUITO CHATEAR [PONTO],(+)CHATEADO [PONTO]
ISSO SER MUITO CHATO [EXCLAMAÇÃO],(+)CHATO [EXCLAMAÇÃO]
SER MUITO CHATO [EXCLAMAÇÃO],(+)CHATO [EXCLAMAÇÃO]
ISSO SER MUITO CHATO [EXCLAMAÇÃO],(+)CHATO [EXCLAMAÇÃO]
SER MUITO CHATO [PONTO],(+)CHATO [PONTO]
ISSO SER MUITO CHATO [EXCLAMAÇÃO],(+)CHATO [PONTO]
SER MUITO CHATO [EXCLAMAÇÃO],(+)CHATO [PONTO]
SER MUITO CHATO [PONTO],(+)CHATO [PONTO]
ISSO SER MUITO IRRITANTE [PONTO],(+)CHATO [PONTO]
ESTAR CHOVER POTE [PONTO],(+)CHOVER [PONTO]
CAIR CHUVA FORTE [PONTO],(+)CHUVA [PONTO]
EU COMER DEMAIS HOJE [PONTO],(+)COMER HOJE [PONTO]
SER MUITO COMPLICAR [INTERROGAÇÃO],(+)COMPLICADO [INTERROGAÇÃO]
ISSO SER MUITO COMPLICAR [INTERROGAÇÃO],(+)COMPLICADO [INTERROGAÇÃO]
SER MUITO COMPLICAR [PONTO],(+)COMPLICADO [PONTO]
SER MUITO COMPLICAR [PONTO],(+)COMPLICAR [PONTO]
ISTO SER MUITO COMPRIDO [PONTO],(+)COMPRIDO [PONTO]
ISTO SER MUITO COMPRIDO [PONTO],(+)COMPRIDO [PONTO]
SER MUITO COMUM [PONTO],(+)COMUM [PONTO]
SER MUITO COMUM [PONTO],(+)COMUM [PONTO]
SER MUITO CONFORTÁVEL [PONTO],(+)CONFORTÁVEL [PONTO]
ESTAR MUITO CONFORTÁVEL [PONTO],(+)CONFORTÁVEL [PONTO]
ISSO SER MUITO CONFORTÁVEL [PONTO],(+)CONFORTÁVEL [PONTO]
ISSO ESTAR MUITO CONFORTÁVEL [PONTO],(+)CONFORTÁVEL [PONTO]
ESTAR MUITO COMPLICADO [PONTO],(+)CONFUSO [PONTO]
EU ESTAR MUITO COMPLICADO [PONTO],(+)CONFUSO [PONTO]
IR MUITO CONSTRANGEDOR [PONTO],(+)CONSTRANGEDOR [PONTO]
MUITO CONSUMIDOR SÓ CONSEGUIR RESOLUÇÃO SEUS PROBLEMA APELAR PARA BRASÍLIA DEVIDO OMISSÃO AGÊNCIA QUE SER CONSIDERAR NÃO-TRANSPARENTE INEFICIENTE [PONTO] SEGUNDO OUVIDOR AGÊNCIA ARISTÓTELES SANTOS APÓS 10 ANO CRIAÇÃO ANATEL POR NÃO CUMPRIR OU NÃO_FAZER CUMPRIR INTEGRALMENTE PROPÓSITO QUE JUSTIFICAR SEU CRIAÇÃO VIVER NOSSO VER RELEVANTE CRISE EXISTENCIAL [PONTO] OUVIDOR TAMBÉM ACUSAR ANATEL SE OMITIR PROBLEMA AUSÊNCIA COMPETITIVIDADE AUSÊNCIA AÇÃO PARA BAIXAR PREÇO INTERNET BANDA LARGO [PONTO],(+)CONSUMIDOR CONSEGUIR RESOLUÇÃO SEU PROBLEMA APELAR BRASÍLIA_ESTADO DEVIDO OMISSÃO AGÊNCIA  CONSIDERAR NÃO_TER TRANSPARENTE INEFICIENTE [PONTO] SEGUNDO_OPINIÃO OUVIDOR AGÊNCIA ARISTÓTELES SANTO APÓS 10 ANO_DATA CRIAÇÃO ANATEL  NÃO_CUMPRIR INTEGRALMENTE PROPÓSITO JUSTIFICAR SUA CRIAÇÃO VIVER RELEVANTE CRISE EXISTENCIAL [PONTO] OUVIDOR TAMBÉM ACUSAR ANATEL OMITIR PROBLEMA FALTA COMPETITIVIDADE FALTA AÇÃO BAIXAR PREÇO INTERNET BANDA_LARGA [PONTO]
MUITO QUE ESTAR CONTER POETA DESCALÇAR [PONTO] VIVER DIA 25 ABRIL 1974 ENORME ALEGRIA POR TEMPO BREVE SIM MAS PODER VIVÊ_LA VER PORTUGAL LIVRE FASCISMO [PONTO] SETEMBRO VISITAR PAÍS [PONTO] UM SEMANA DEZEMBRO ESCREVER APÁTRIDAS POEMA EXULTANTE EXALTAR SEU OBRA INTEGRAR DIVERSO EDIÇÃO HISTÓRIA LITERATURA PORTUGUÊS [PONTO],CONTER POETA DESCALÇO [PONTO] VIVER DIA 25 MÊS ABRIL ANO_DATA 1974 ENORME ALEGRIA TEMPO BREVE SIM PODER VIVER PORTUGAL_PAÍS LIVRE FASCISMO [PONTO] MÊS SETEMBRO VISITAR PAÍS [PONTO] UMA SEMANA MÊS DEZEMBRO ESCREVER_PAPEL APÁTRIDAS POEMA EXULTANTE EXALTANTE SUA OBRA_LITERATURA INTEGRADA DIVERSA EDIÇÃO HISTÓRIA LITERATURA PORTUGUESA [PONTO]
CONVERSAR MUITO [PONTO],(+)CONVERSAR [PONTO]
TER MUITO CUIDADO [PONTO],(+)CUIDADO [PONTO]
TER MUITO CUIDADO [PONTO],(+)CUIDADO [PONTO]
SER MUITO CURIOSO [PONTO],(+)CURIOSO [PONTO]
ESTAR MUITO CURIOSO [PONTO],(+)CURIOSO [PONTO]
SER MUITO CURTO [PONTO],(+)CURTO [PONTO]
SER MUITO CURTO [PONTO],(+)CURTO [PONTO]
ME DAR POUCO [PONTO],(+)DAR[PONTO]
ESTAR MUITO DECEPCIONADO [PONTO],(+)DECEPÇÃO [PONTO]
SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
SER COMPLICAR [PONTO],(+)DIFÍCIL [PONTO]
IR MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
ISSO SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
IR MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
ISSO IR MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
SER MUITO DIFÍCIL [PONTO],(+)DIFÍCIL [PONTO]
IR MUITO DIFÍCIL FALAR AQUILO [PONTO],(+)DIFÍCIL DIZER AQUILO [PONTO]
IR MUITO DIFÍCIL FALAR ISSO [PONTO],(+)DIFÍCIL DIZER ISSO [PONTO]
IR SER MUITO DIFÍCIL FAZER ISSO [PONTO],(+)DIFÍCIL FAZER [PONTO]
SER MUITO DIFÍCIL PARA MIM [PONTO],(+)DIFÍCIL MIM [PONTO]
SER MAIS DIFÍCIL QUE PENSAR [PONTO],(+)DIFÍCIL PENSAR [PONTO]
IR MUITO DIVERTIR [PONTO],(+)DIVERTIDO [PONTO]
ISSO IR MUITO DIVERTIR [PONTO],(+)DIVERTIDO [PONTO]
SER MUITO DIVERTIR [PONTO],(+)DIVERTIDO [PONTO]
SER MUITO DOCE [PONTO],(+)DOCE [PONTO]
EU ESTAR MUITO DOENTE [PONTO],(+)DOENTE [PONTO]
DÓI MUITO [INTERROGAÇÃO],(+)DOER [INTERROGAÇÃO]
IR MUITO DOLOROSO [PONTO],(+)DOLOROSO [PONTO]
DORMI DEMAIS [PONTO],(+)DORMIR [PONTO]
EU IR MUITO EDUCAR [PONTO],(+)EDUCAÇÃO_PESSOA [PONTO]
SER MUITO EFICAZ [PONTO],(+)EFICAZ [PONTO]
ISSO SER MUITO EFICAZ [PONTO],(+)EFICAZ [PONTO]
SER MUITO ELEGANTE [PONTO],(+)ELEGANTE [PONTO]
MUITO ELES SER NEGRO LEVAR SPOTSWOOD PERGUNTAR SEU CONSELHO QUE PODER SER FAZER SOBRE CIRCUNSTÂNCIA ESTES NEGRO PARA ISENTÁ _LOS SOFRER MESMO QUE OUTRO PIRATA [PONTO] INDEPENDENTEMENTE ISSO NEGRO IR JULGAR COM DEMAIS CAPITÓLIO WILLIAMSBURG SOB LEI ALMIRANTADO 12 MARÇO 1719 [PONTO],(+)ELES NEGRO LEVAR SPOTSWOOD PERGUNTAR SEU CONSELHO_GRUPO PODER_POSSIBILIDADE FEITO SOBRE_ASSUNTO CIRCUNSTÂNCIA ESTE NEGRO ISENTA SOFRER IGUAL OUTRO PIRATA [PONTO] INDEPENDENTEMENTE DISSO NEGRO JULGADO MAIS_QUANTIDADE CAPITÓLIO WILLIAMSBURG SOB LEI ALMIRANTADO DIA 12 MÊS MARÇO ANO_DATA 1719 [PONTO]
IR MUITO EMBARAÇOSO [PONTO],(+)EMBARAÇOSO [PONTO]
IR MUITO EMOCIONANTE [PONTO],(+)EMOCIONANTE [PONTO]
ESTAR MUITO EMPOLGAR [PONTO],(+)EMPOLGADO [PONTO]
ESTAR MUITO EMPOLGAR [PONTO],(+)EMPOLGADO [PONTO]
ESTAR MUITO EMPOLGAR [PONTO],(+)EMPOLGADO [PONTO]
ESTAR MUITO EMPOLGAR [PONTO],(+)EMPOLGADO [PONTO]
SER TÃO DIVERTIR [PONTO],(+)ENGRAÇADO [PONTO]
ISSO IR MUITO DIVERTIR [PONTO],(+)ENGRAÇADO [PONTO]
AQUILO IR MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
ISTO SER MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
ISTO SER MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
ISSO IR MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
IR MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
SER MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
IR MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
ISTO SER MUITO ENGRAÇAR [PONTO],(+)ENGRAÇADO [PONTO]
EU ESTAR MUITO ENTEDIADO TAMBÉM [PONTO],(+)ENTEDIADO [PONT]
ESTAR MUITO ENTEDIADO [PONTO],(+)ENTEDIADO [PONTO]
EU ESTAR MUITO ENTEDIADO [PONTO],(+)ENTEDIADO [PONTO]
ESTAR MUITO ENTEDIADO TAMBÉM [PONTO],(+)ENTEDIADO [PONTO]
EU ESTAR MUITO ENTEDIADO TAMBÉM [PONTO],(+)ENTEDIADO [PONTO]
ESTAR MUITO ENTEDIADO TAMBÉM [PONTO],(+)ENTIADO AQUI [PONTO]
ISSO ESTAR MUITO ERRAR [PONTO],(+)ERRADO [PONTO]
ISSO ESTAR MUITO ERRAR [PONTO],(+)ERRADO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
ESTAR ESCURO DEMAIS [PONTO],(+)ESCURO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
ESTAR MUITO ESCURO [PONTO],(+)ESCURO [PONTO]
SER TÃO ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
ESTAR TÃO ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
SER MUITO ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
IR MUITO ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
SER BEM ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
SER MUITO ESTRANHO [PONTO],(+)ESTRANHO [PONTO]
SER MUITO ESTREITO [PONTO],(+)ESTREITO [PONTO]
ESTUDAR MUITO [PONTO],(+)ESTUDAR [PONTO]
ESTUDAR MUITO [PONTO],(+)ESTUDAR [PONTO]
IR ESTUDAR MUITO [PONTO],(+)ESTUDAR [PONTO]
ESTUDAR MUITO ESCOLA [PONTO],(+)ESTUDAR ESCOLA [PONTO]
ESTUDAR MUITO PARA NÃO FALHAR [PONTO],(+)ESTUDAR NÃO_FALHAR [PONTO]
SER TÃO EXCITANTE [PONTO],(+)EXCITANTE [PONTO]
SER FÁCIL DEMAIS [PONTO],(+)FÁCIL [PONTO]
ESTAR FÁCIL DEMAIS [PONTO],(+)FÁCIL [PONTO]
ISSO SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
ISSO SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
IR MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
ISSO SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
ISSO SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
SER MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
IR MUITO FÁCIL [PONTO],(+)FÁCIL [PONTO]
ISSO IR MUITO FÁCIL [EXCLAMAÇÃO],(+)FÁCIL [PONTO]
SER MAIS FÁCIL FALAR QUE FAZER [PONTO],(+)FÁCIL DIZER FAZER [PONTO]
SER MAIS FÁCIL FALAR QUE FAZER [PONTO],(+)FÁCIL DIZER QUE FAZER [PONTO]
SER MUITO FÁCIL PARA ELE [PONTO],(+)FÁCIL ELE [PONTO]
TÃO FÁCIL QUANTO ROUBAR DOCE CRIANÇA [PONTO],(+)FÁCIL IGUAL ROUBAR DOCE CRIANÇA  [PONTO]
SER MAIS FÁCIL QUE PARECER [PONTO],(+)FÁCIL PARECER [PONTO]
SER MAIS FÁCIL QUE PENSAR [PONTO],(+)FÁCIL PENSAR [PONTO]
SER MUITO FÁCIL USAR [PONTO],(+)FÁCIL USAR [PONTO]
SER MAIS FÁCIL QUE VOCÊ PENSAR [PONTO],(+)FÁCIL VOCÊ PENSAR [PONTO]
EU FALO MUITO [PONTO],(+)FALAR [PONTO]
FALAR BASTANTE [PONTO],(+)FALAR [PONTO]
SER MUITO FEIO [PONTO],(+)FEIO [PONTO]
SER MUITO FEIO [PONTO],(+)FEIO [PONTO]
ESTAR MUITO FEIO [PONTO],(+)FEIO [PONTO]
ESTAR MUITO FEIO [PONTO],(+)FEIO [PONTO]
SER MUITO FEIO [PONTO],(+)FEIO [PONTO]
SER MUITO FEIO [PONTO],(+)FEIO [PONTO]
ISSO SER MUITO FEIO [PONTO],(+)FEIO [PONTO]
ESTAR MUITO FEIO [PONTO],(+)FEIO [PONTO]
ESTAR MUITO FEIO [PONTO],(+)FEIO [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU SER MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU SER MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
